day,time
Monday,8 AM
Monday,9 AM
Monday,10 AM
Monday,11 AM
Monday,12 PM
Monday,2 PM
Monday,3 PM
Monday,4 PM
Monday,5 PM
Tuesday,8 AM
Tuesday,9 AM
Tuesday,10 AM
Tuesday,11 AM
Tuesday,12 PM
Tuesday,2 PM
Tuesday,3 PM
Tuesday,4 PM
Tuesday,5 PM
Wednesday,8 AM
Wednesday,9 AM
Wednesday,10 AM 
Wednesday,11 AM 
Wednesday,12 PM 
Wednesday,2 PM
Wednesday,3 PM 
Wednesday,4 PM 
Wednesday,5 PM 
Thursday,8 AM
Thursday,9 AM
Thursday,10 AM 
Thursday,11 AM 
Thursday,12 PM 
Thursday,2 PM
Thursday,3 PM 
Thursday,4 PM 
Thursday,5 PM 
Friday,8 AM
Friday,9 AM
Friday,10 AM
Friday,11 AM
Friday,12 PM
Friday,2 PM
Friday,3 PM
Friday,4 PM
Friday,5 PM
